domain,url,tag,classes,label_true,label_pred,confidence,text
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,title,0.48076062997504415,"L.T. Liu, S. Barocas, J. Kleinberg, K. Levy.
On the Actionability of Outcome Prediction.
Proc. 38th AAAI Conference on Artificial Intelligence (AAAI-24), 2024.


A. F. Cooper, K. Lee, M. Z. Choksi, S. Barocas, C. De Sa, J. Grimmelmann, J. Kleinberg, S. Sen, B. Zhang.

Is My Prediction Arbitrary? The Confounding Effects of Variance in Fair Classification Benchmarks.
Proc. 38th AAAI Conference on Artificial Intelligence (AAAI-24), 2024.


J. Kleinberg, E. Ryu, E. Tardos.

Calibrated Recommendation"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,author,title,0.5734456521739131,"K. Van Koevering, Y. Hong, J. Kleinberg.

Exporting Geography Into A Virtual Landscape: A Global Pandemic Locally Discussed.
arXiv/2210.07187, 2022.


J. Gaitonde, J. Kleinberg, E. Tardos.

Polarization in Geometric Opinion Dynamics.
Proc. 22nd ACM Conference on Economics and Computation (EC), 2021.


J. Gaitonde, J. Kleinberg, E. Tardos.

Adversarial Perturbations of Opinion Dynamics in Networks.
Proc. 21st ACM Conference on Economics and Computation (EC), 2020.


R. Abebe, L. Adamic, J. Kleinb"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,other,0.33,"E. Dantsin, A. Goerdt, E. Hirsch,
R. Kannan, J. Kleinberg, C. Papadimitriou, P. Raghavan, U. Schoning,
A deterministic algorithm for satisfiability 
based on local search. Theoretical Computer Science, 289(2002).

 J. Kleinberg, M. Goemans.  The Lovasz theta
function and a semi-definite programming relaxation of vertex cover.
SIAM J. Discrete Math, 11(1998).

 M. Goemans, J. Kleinberg.  An improved
approximation ratio for the minimum latency problem.
Proc. 7th ACM-SIAM Symposium on Discrete Algo"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,title,0.5085349781636147,"K. Tomlinson, J. Ugander, J. Kleinberg.

The Moderating Effect of Instant Runoff Voting.
Proc. 38th AAAI Conference on Artificial Intelligence (AAAI-24), 2024.

 L.T. Liu, S. Barocas, J. Kleinberg, K. Levy.
On the Actionability of Outcome Prediction.
Proc. 38th AAAI Conference on Artificial Intelligence (AAAI-24), 2024.


A. F. Cooper, K. Lee, M. Z. Choksi, S. Barocas, C. De Sa, J. Grimmelmann, J. Kleinberg, S. Sen, B. Zhang.

Is My Prediction Arbitrary? The Confounding Effects of Variance in Fa"
arxiv.org,https://arxiv.org/abs/2301.00001,p,,journal,other,0.7725,arXivLabs is a framework that allows collaborators to develop and share new arXiv features directly on our website.
arxiv.org,https://arxiv.org/abs/2302.00123,p,,title,other,0.6475,"Both individuals and organizations that work with arXivLabs have embraced and accepted our values of openness, community, excellence, and user data privacy. arXiv is committed to these values and only works with partners that adhere to them."
arxiv.org,https://arxiv.org/abs/2303.00456,div,button-and-tooltip,journal,other,0.8825,"Focus to learn more



                  arXiv-issued DOI via DataCite"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,author,title,0.38667720955096224,"A. Anderson, D. Huttenlocher, J. Kleinberg, J. Leskovec.

Effects of User Similarity in Social Media.
Proc. 5th ACM Conference on Web Search and Data Mining, 2012.


A. Anderson, D. Huttenlocher, J. Kleinberg, J. Leskovec.
Discovering Value from Community Activity on Focused Question Answering Sites: A Case Study of Stack Overflow.
Proc. 18th ACM SIGKDD Intl. Conf. on Knowledge Discovery and Data Mining, 2012.


D. Bindel, J. Kleinberg, S. Oren.

How Bad is Forming Your Own Opinion?
Proc. 52nd I"
arxiv.org,https://arxiv.org/abs/2301.00002,div,extra-services,title,author,0.3325,"Full-text links:
Access Paper:


View a PDF of the paper titled Evaluating Alternative Glyph Design for Showing Large-Magnitude-Range Quantum Spins, by Henan Zhao and Garnett W. Bryant and Wesley Griffin and Judith E. Terrill and Jian ChenView PDFTeX Source
 


view license


 
    Current browse context: cs.HC


< prev

  |   
next >


new
 | 
recent
 | 2023-01

    Change to browse by:
    
cs
cs.GR
quant-ph




References & Citations


INSPIRE HEP

NASA ADSGoogle Scholar
Semantic Scholar




"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,title,0.3913846945051216,"J. Kleinberg, M. Sandler, A. Slivkins.
Network Failure Detection and
Graph Connectivity.
Proc. 15th ACM-SIAM Symposium on Discrete Algorithms, 2004.
(In PDF.)

 A. Gupta, J. Kleinberg, A. Kumar, R. Rastogi, B. Yener.

Provisioning a virtual private network: 
A network design problem for multicommodity flow.
Proc. 33rd ACM Symposium on Theory of Computing, 2001.

 J. Kleinberg.

Detecting a Network Failure.
Proc. 41st IEEE Symposium on Foundations of Computer Science, 2000.

 D. Kempe, J. Kleinbe"
arxiv.org,https://arxiv.org/abs/2302.00123,div,column,journal,other,0.855,"About
Help





contact arXivClick here to contact arXiv
 Contact


subscribe to arXiv mailingsClick here to subscribe
 Subscribe"
arxiv.org,https://arxiv.org/abs/2302.00001,div,columns,journal,other,0.755,"Happy Open Access Week from arXiv!
YOU make open access possible! Tell us why you support #openaccess and give to arXiv this week to help keep science open for all.


Donate!"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,other,0.3975,"J. Kleinberg, E. Tardos.
Algorithm Design.
Addison Wesley, 2005. 




This book is based on the undergraduate algorithms course that we both teach.
We also use the more advanced parts for our graduate algorithms course.


I teach a PhD-level course on network models, entitled
	
The Structure of Information Networks (CS 6850)."
arxiv.org,https://arxiv.org/abs/2302.00123,div,control,journal,author,0.6425,"All fields
Title
Author
Abstract
Comments
Journal reference
ACM classification
MSC classification
Report number
arXiv identifier
DOI
ORCID
arXiv author ID
Help pages
Full text"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,other,0.53,"M. Raghu, B. Poole, J. Kleinberg, S. Ganguli, J. Sohl-Dickstein.

On the expressive power of deep neural networks.
Proc. 34th Intl. Conf. on Machine Learning (ICML), 2017."
arxiv.org,https://arxiv.org/abs/2302.00001,p,,journal,other,0.775,Have an idea for a project that will add value for arXiv's community? Learn more about arXivLabs.
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,journal,title,0.45332155929721824,"D. Liben-Nowell, J. Kleinberg.
Tracing
  Information Flow on a Global Scale Using Internet Chain-Letter
  Data.  Proc. National Academy of Sciences,
  105(12):4633–4638, 25 March 2008.
  
    We are interested in gathering additional data about the spread
    of the chain-letter petitions described in this paper.  
    Please visit
    
    http://petitions.cs.cornell.edu
    or
    
    http://petitions.cs.carleton.edu
    to learn more or to help.  
 

G. Kossinets, J. Kleinberg, D. Watts.
The"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,author,0.3725,"D. Gibson, J. Kleinberg, P. Raghavan.
Inferring Web communities from link topology.
Proc. 9th ACM Conference on Hypertext and Hypermedia, 1998.

 S. Chakrabarti, B. Dom, D. Gibson, J. Kleinberg,
P. Raghavan, S. Rajagopalan,

Automatic resource list compilation by
analyzing hyperlink structure and associated text.
Proc. 7th International World Wide Web Conference, 1998.

 S. Chakrabarti, B. Dom, D. Gibson, J. Kleinberg, S.R. Kumar,
P. Raghavan, S. Rajagopalan, A. Tomkins,

Hypersearching the Web."
arxiv.org,https://arxiv.org/abs/2302.00001,li,,journal,other,0.955,"contact arXivClick here to contact arXiv
 Contact"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,journal,title,0.565945652173913,"K. Peng, R. Movva, J. Kleinberg, E. Pierson, N. Garg.
Use Sparse Autoencoders to Discover Unknown Concepts, Not to Act on Known Concepts.
arXiv/2506.23845, 2025.


Z. Tang, D. Jiao, E. Xue, R. McIlroy-Young, J. Kleinberg, S. Sen, A. Anderson.
Learning to Imitate with Less: Efficient Individual Behavior Modeling in Chess.
arXiv/2507.21488, 2025.


T. Qiu, B. Laufer, J. Kleinberg, H. Heidari.
A Formal Model of the Economic Impacts of AI Openness Regulation.
arXiv/2507.14193, 2025.


B. Laufer, H. "
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,author,title,0.5409456521739131,"N. Veldt, A. Benson, J. Kleinberg.

Localized Flow-Based Clustering in Hypergraphs.
Proc. 26th ACM SIGKDD Intl. Conf. on Knowledge Discovery and Data Mining, 2020.


A. Benson, J. Kleinberg.

Core-fringe link prediction.
Proc. 28th International World Wide Web Conference, 2019.
See also the
code and data
accompanying the paper.



A. Benson, R. Abebe, M. Schaub, A. Jadbabaie, J. Kleinberg.

Simplicial Closure and Higher-order Link Prediction.
Proc. National Academy of Sciences, 
115(48) E11221-E"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,title,0.31027813712807245,"A. Aggarwal, J. Kleinberg, D. Williamson.  
Node-disjoint
paths on the mesh, and a new trade-off in VLSI layout.
Proc. 28th ACM Symposium on Theory of Computing, 1996.

 J. Kleinberg, E. Tardos.  Disjoint
paths in densely embedded graphs.
Proc. 36th IEEE Symposium on Foundations of Computer Science,
1995. 

 J. Kleinberg, E. Tardos.  Approximations
for the disjoint paths problem in high-diameter planar networks.
Proc. 27th ACM Symposium on Theory of Computing, 1995.

 J. Kleinberg.  Approximatio"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,title,0.307514718141994,"J. Kleinberg, J. Ludwig, S. Mullainathan, M. Raghavan.
The Inversion Problem: Why Algorithms Should Infer Mental State and Not Just Predict Behavior.
Perspectives on Psychological Science 19:5(2024).


K. Van Koevering, J. Kleinberg.
How Random is Random? Evaluating the Randomness and Humanness of LLMs' Coin Flips.
arXiv/2406.00092, 2024.


K. Van Koevering, M. Ye, J. Kleinberg.
What's in a Niche? Migration Patterns in Online Communities.
arXiv/2407.11794, 2024."
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,title,0.3402781371280724,"J. Kleinberg, Y. Rabani, E. Tardos.

Fairness in routing and load balancing.
Proc. 40th IEEE Symposium on Foundations of Computer Science, 1999.

 J. Kleinberg, A. Kumar.  Wavelength
conversion in optical networks.
Proc. 10th ACM-SIAM Symposium on Discrete Algorithms, 1999.

 M. Charikar, J. Kleinberg, S.R. Kumar, S. Rajagopalan,
A. Sahai, A. Tomkins.

Minimizing wirelength in zero and bounded skew clock trees.
Proc. 10th ACM-SIAM Symposium on Discrete Algorithms, 1999.

 J. Kleinberg.  Decision"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,author,title,0.5784456521739131,"Z. Tang, D. Jiao, E. Xue, R. McIlroy-Young, J. Kleinberg, S. Sen, A. Anderson.
Learning to Imitate with Less: Efficient Individual Behavior Modeling in Chess.
arXiv/2507.21488, 2025.


T. Qiu, B. Laufer, J. Kleinberg, H. Heidari.
A Formal Model of the Economic Impacts of AI Openness Regulation.
arXiv/2507.14193, 2025.


B. Laufer, H. Oderinwale, J. Kleinberg.

Anatomy of a Machine Learning Ecosystem: 2 Million Models on Hugging Face.
arXiv/2508.06811, 2025.


J. Kleinberg, S. Mullainathan.
Langu"
arxiv.org,https://arxiv.org/abs/2301.00002,div,leftcolumn,title,title,0.5342077467742747,"Computer Science > Human-Computer Interaction


arXiv:2301.00002 (cs)
    




  [Submitted on 25 Dec 2022]
Title:Evaluating Alternative Glyph Design for Showing Large-Magnitude-Range Quantum Spins
Authors:Henan Zhao, Garnett W. Bryant, Wesley Griffin, Judith E. Terrill, Jian Chen View a PDF of the paper titled Evaluating Alternative Glyph Design for Showing Large-Magnitude-Range Quantum Spins, by Henan Zhao and Garnett W. Bryant and Wesley Griffin and Judith E. Terrill and Jian Chen
View PDF

A"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,other,0.4075,"K. Van Koevering, J. Kleinberg.
How Random is Random? Evaluating the Randomness and Humanness of LLMs' Coin Flips.
arXiv/2406.00092, 2024.


K. Van Koevering, M. Ye, J. Kleinberg.
What's in a Niche? Migration Patterns in Online Communities.
arXiv/2407.11794, 2024."
arxiv.org,https://arxiv.org/abs/2302.00001,p,help,journal,other,0.8175,arXiv Operational Status
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,other,0.36,"H. Lakkaraju, J. Leskovec, J. Kleinberg, S. Mullainathan.
A Bayesian Framework for Modeling Human Evaluations.  
Proc. 15th SIAM International Conference on Data Mining (SDM), 2015.



J. Kleinberg, S. Mullainathan.
We Built Them, But We Don't Understand Them.
In What to Think About Machines That Think: Today's Leading Thinkers on the Age of Machine Intelligence.
Harper Perennial 2015."
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,journal,title,0.38695534667903464,"L. Blume, D. Easley, J. Kleinberg, R. Kleinberg, E. Tardos.
Introduction to computer science and economic theory.
Journal of Economic Theory 156(2015).

 
J. Kleinberg, S. Oren.

Time-Inconsistent Planning: A Computational Problem in Behavioral Economics.
Proc. 15th ACM Conference on Economics and Computation (EC), 2014.


P. Frazier, D. Kempe, J. Kleinberg, R. Kleinberg.
Incentivizing Exploration.
Proc. 15th ACM Conference on Economics and Computation (EC), 2014.

 
A. Anderson, D. Huttenlocher"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,other,0.47,"D. Romero, D. Huttenlocher, J. Kleinberg.

Coordination and Efficiency in Decentralized Collaboration.
Proc. 9th International AAAI Conference on Weblogs and Social Media, 2015."
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,author,title,0.6134456521739131,"Y. Wang, J. Kleinberg.
On the Relationship Between Relevance and Conflict in Online Social Link Recommendations.
Advances in Neural Information Processing Systems (NeurIPS) 37, 2023.


M. Meister, J. Kleinberg.

Optimizing the order of actions in contact tracing.
PNAS Nexus, January 2023.


M. Papachristou, S. Banerjee, J. Kleinberg.
Dynamic Interventions for Networked Contagions.
Proc. 32nd International World Wide Web Conference, 2023.

 
M. Papachristou, J. Kleinberg.

Allocating Stimulus Che"
arxiv.org,https://arxiv.org/abs/2302.00001,div,browse,year,other,0.4475,"Current browse context: physics.plasm-ph


< prev

  |   
next >


new
 | 
recent
 | 2023-02

    Change to browse by:
    
physics
quant-ph"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,journal,title,0.46787500000000004,"F. Chierichetti, J. Kleinberg, D. Liben-Nowell.

Reconstructing Patterns of Information Diffusion from Incomplete Observations.
Advances in Neural Information Processing Systems 24, 2011.


D. Romero, B. Meeder, J. Kleinberg.
Differences in the Mechanics of Information Diffusion Across Topics: Idioms, Political Hashtags, and Complex Contagion on Twitter. 
Proc. 20th International World Wide Web Conference, 2011.


S. Wu, C. Tan, J. Kleinberg, M. Macy.
Does Bad News Go Away Faster?
Proc. 5th Inte"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,journal,title,0.5082957957957958,"H. Heidari, J. Kleinberg.

Allocating Opportunities in a Dynamic Model of Intergenerational Mobility.
Proc. ACM Conference on Fairness, Accountability, and Transparency (FAccT), 2021.


K. Donahue, J. Kleinberg.

Model-sharing Games: Analyzing Federated Learning Under Voluntary Participation.
Proc. 35th AAAI Conference on Artificial Intelligence (AAAI-21), 2021.


K. Donahue, J. Kleinberg.

Optimality and Stability in Federated Learning: A Game-theoretic Approach.
Advances in Neural Information "
arxiv.org,https://arxiv.org/abs/2301.00002,span,arxivid,journal,other,0.9055112719764672,arXiv:2301.00002 [cs.HC]
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,other,0.4275,"D. Huttenlocher, K. Kedem, J. Kleinberg.  On
dynamic Voronoi diagrams and the minimum Hausdorff distance for point
sets under Euclidean motion in the plane.  Proc. 8th ACM Symposium
on Computational Geometry, 1992."
arxiv.org,https://arxiv.org/abs/2303.00456,div,is-hidden-mobile,journal,author,0.6475,"> cs > arXiv:2303.00456
  







Help | Advanced Search




All fields
Title
Author
Abstract
Comments
Journal reference
ACM classification
MSC classification
Report number
arXiv identifier
DOI
ORCID
arXiv author ID
Help pages
Full text




Search"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,journal,title,0.6159456521739131,"K. Donahue, J. Kleinberg.

Private Blotto: Viewpoint Competition with Polarized Agents.
Proc. 39th AAAI Conference on Artificial Intelligence (AAAI-25), 2025.


K. Peng, N. Garg, J. Kleinberg.
A No Free Lunch Theorem for Human-AI Collaboration.
Proc. 39th AAAI Conference on Artificial Intelligence (AAAI-25), 2025.


K. Tomlinson, T. Namjoshi, J. Ugander, J. Kleinberg.
Replicating Electoral Success.
Proc. 39th AAAI Conference on Artificial Intelligence (AAAI-25), 2025.


E. Pierson, D. Shanmugam,"
arxiv.org,https://arxiv.org/abs/2302.00123,div,,journal,other,0.885,arXiv-issued DOI via DataCite
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,other,0.3875,"J. Kleinberg.
Efficient Algorithms for Protein Sequence Design 
and the Analysis of Certain 
Evolutionary Fitness Landscapes.
Proc. 3rd ACM RECOMB Intl. Conference on Computational 
Molecular Biology, 1999."
arxiv.org,https://arxiv.org/abs/2303.00456,div,search-block level-right,journal,author,0.6525,"Help | Advanced Search




All fields
Title
Author
Abstract
Comments
Journal reference
ACM classification
MSC classification
Report number
arXiv identifier
DOI
ORCID
arXiv author ID
Help pages
Full text




Search"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,journal,title,0.5183215592972182,"F. Chierichetti, J. Kleinberg, S. Oren.

On discrete preferences and coordination.
Proc. 14th ACM Conference on Electronic Commerce, 2013.


D. Kempe, J. Kleinberg, S. Oren, A. Slivkins.

Selection and Influence in Cultural Dynamics.
Proc. 14th ACM Conference on Electronic Commerce, 2013.

J. Ugander, L. Backstrom, C. Marlow, J. Kleinberg.

Structural Diversity in Social Contagion.
Proc. National Academy of Sciences, 109(16) 5962-5966, 17 April 2012.


K. Bhawalkar, J. Kleinberg, K. Lewi, T. Rou"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,author,title,0.5734456521739131,"R. Abebe, T-H Chan, J. Kleinberg, Z. Liang, D. Parkes, M. Sozio, C. Tsourakakis.
Opinion Dynamics with Varying Susceptibility to Persuasion via Non-Convex Local Search.
ACM Transactions on Knowledge Discovery from Data, 2022.



K. Van Koevering, Y. Hong, J. Kleinberg.

Exporting Geography Into A Virtual Landscape: A Global Pandemic Locally Discussed.
arXiv/2210.07187, 2022.


J. Gaitonde, J. Kleinberg, E. Tardos.

Polarization in Geometric Opinion Dynamics.
Proc. 22nd ACM Conference on Economic"
arxiv.org,https://arxiv.org/abs/2301.00002,p,,journal,other,0.7725,arXivLabs is a framework that allows collaborators to develop and share new arXiv features directly on our website.
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,journal,title,0.605945652173913,"K. Vafa, S. Bentley, J. Kleinberg, S. Mullainathan.
What's Producible May Not Be Reachable: Measuring the Steerability of Generative Models.
arXiv/2503.17482, 2025.


B. Laufer, J. Kleinberg, H. Heidari.
The Backfiring Effect of Weak AI Safety Regulation.
arXiv/2503.20848, 2025.


M. Papachristou, J. Kleinberg.
Echoes of Disagreement: Measuring Disparity in Social Consensus.
arXiv/2504.07480, 2025.


K. Peng, R. Movva, J. Kleinberg, E. Pierson, N. Garg.
Use Sparse Autoencoders to Discover Unknow"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,journal,title,0.43562477497749774,"J. Kleinberg, M. Raghavan.

How Do Classifiers Induce Agents To Invest Effort Strategically?
Proc. 20th ACM Conference on Economics and Computation (EC), 2019.


J. Kleinberg, R. Kleinberg.
 
Delegated Search Approximates Efficient Search.
Proc. 19th ACM Conference on Economics and Computation (EC), 2018.


J. Kleinberg, S. Oren, M. Raghavan.

Planning with Multiple Biases.
Proc. 18th ACM Conference on Economics and Computation (EC), 2017.


J. Kleinberg, S. Mullainathan, J. Ugander.

Comparison"
arxiv.org,https://arxiv.org/abs/2303.00456,p,help,journal,other,0.8175,arXiv Operational Status
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,author,title,0.5380181658919185,"L. Backstrom, J. Kleinberg.

Romantic Partnerships and the Dispersion of Social Ties: A Network Analysis of Relationship Status on Facebook.
Proc. 17th ACM Conference on Computer Supported Cooperative Work and Social Computing (CSCW), 2014.


I. Kloumann, J. Kleinberg.
Community membership identification from small seed sets.
Proc. 20th ACM SIGKDD Intl. Conf. on Knowledge Discovery and Data Mining, 2014.


J. Ugander, L. Backstrom, J. Kleinberg.
Subgraph Frequencies: Mapping the Empirical and Ex"
arxiv.org,https://arxiv.org/abs/2303.00456,td,tablecell doi,doi,other,0.4775,"https://doi.org/10.21437/Interspeech.2023-1616




Focus to learn more




                DOI(s) linking to related resources"
arxiv.org,https://arxiv.org/abs/2301.00001,li,,journal,other,0.825,arXiv Operational Status
arxiv.org,https://arxiv.org/abs/2301.00001,p,help,journal,other,0.8175,arXiv Operational Status
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,title,0.4759146068101962,"J. Kleinberg.
An Impossibility Theorem for Clustering.
Advances in Neural Information Processing Systems 15, 2002.

 J. Kleinberg, C. Papadimitriou, P. Raghavan.
On the Value of Private Information.
Proc. 8th Conf. on Theoretical Aspects of Rationality and Knowledge, 2001.


 J. Kleinberg, E. Tardos.

Approximation Algorithms for
Classification Problems with Pairwise Relationships:
Metric Labeling and Markov Random Fields.
Proc. 40th IEEE Symposium on Foundations of Computer Science, 1999.

 J. "
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,other,0.3225,"J. Kleinberg.

The Small-World Phenomenon and Decentralized Search.
A short essay as part of 
Math Awareness Month 2004, 
appearing in SIAM News 37(3), April 2004


 
J. Kleinberg.

Complex Networks and Decentralized Search Algorithms.
Proceedings of the International Congress of Mathematicians (ICM), 2006."
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,other,0.315,"D. Liben-Nowell, J. Kleinberg.

The Link Prediction Problem for Social Networks.
Proc. 12th International Conference on Information 
and Knowledge Management (CIKM), 2003.

 D. Callaway, J. Hopcroft, J. Kleinberg, M. Newman, S. Strogatz.

Are randomly grown graphs really random?
Physical Review E 64, 041902 (2001)."
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,title,0.3372203256460834,"J. Kleinberg.
What Can Huge Datasets Teach Us About Society and Ourselves?
In Future Science, Vintage 2011.

 
J. Kleinberg.
The convergence of social and technological networks.
Communications of the ACM, 51(11):66-72, 2008.


J. Kleinberg, S. Lawrence.
The Structure of the Web. Science 294(2001), 1849.
This version also appears in the 

on-line edition of Science.


 J. Kleinberg, S.R. Kumar, P. Raghavan, S. Rajagopalan, A. Tomkins. 
The Web as a graph: Measurements, models and methods.
Invite"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,author,title,0.595945652173913,"M. Meister, J. Kleinberg.

Optimizing the order of actions in contact tracing.
PNAS Nexus, January 2023.


M. Papachristou, S. Banerjee, J. Kleinberg.
Dynamic Interventions for Networked Contagions.
Proc. 32nd International World Wide Web Conference, 2023.

 
M. Papachristou, J. Kleinberg.

Allocating Stimulus Checks in Times of Crisis.
Proc. 31st International World Wide Web Conference, 2022.


R. Abebe, T-H Chan, J. Kleinberg, Z. Liang, D. Parkes, M. Sozio, C. Tsourakakis.
Opinion Dynamics wit"
cs.cornell.edu,http://www.cs.cornell.edu/home/kleinber/,li,,year,title,0.5134237804878049,"K. Hamade, R. McIlroy-Young, S. Sen, J. Kleinberg, A. Anderson.
Designing Skill-Compatible AI: Methodologies and Frameworks in Chess.
Proc 12th International Conference on Learning Representations (ICLR), 2024.


Y. Wang, J. Kleinberg.

From Graphs to Hypergraphs: Hypergraph Projection and its Remediation.
Proc 12th International Conference on Learning Representations (ICLR), 2024.


C. Dwork, C. Hays, J. Kleinberg, M. Raghavan.
Equilibria, Efficiency, and Inequality in Network Formation for Hir"
